Y,X1,X2,X3,X4,X5,X6,X7
Modulus,Tension,Compression,Start exposure,Stop exposure,Days,Test#,Sample #
1,0,1,9/1/2015,9/1/2015,0,1,13
1,0,1,9/1/2015,9/1/2015,0,1,14
1,0,1,9/1/2015,9/1/2015,0,1,15
1,0,1,9/1/2015,9/1/2015,0,1,16
1,0,1,9/1/2015,9/1/2015,0,1,17
1,0,1,9/1/2015,9/1/2015,0,1,18
1,0,1,9/1/2015,9/1/2015,0,1,19
1,0,1,9/1/2015,9/1/2015,0,1,20
1,0,1,9/1/2015,9/1/2015,0,1,21
1,0,1,9/1/2015,9/1/2015,0,1,22
1,0,1,9/1/2015,9/1/2015,0,1,23
1,0,1,9/1/2015,9/1/2015,0,1,24
0.637381168,0,1,9/1/2015,10/8/2015,28,1,13
0.6675,0,1,9/1/2015,10/8/2015,28,1,14
0.656,0,1,9/1/2015,10/19/2015,41,1,15
0.50315,0,1,9/1/2015,10/19/2015,41,1,16
0.31778,0,1,9/1/2015,10/26/2015,48,1,17
0.433,0,1,9/1/2015,10/26/2015,48,1,18
0.4365,0,1,9/1/2015,11/2/2015,55,1,19
0.491225,0,1,9/1/2015,11/2/2015,55,1,20
0.4117,0,1,9/1/2015,11/9/2015,62,1,21
0.40247,0,1,9/1/2015,11/9/2015,62,1,22
0.4702,0,1,9/1/2015,11/16/2015,69,1,23
0.4664,0,1,9/1/2015,11/16/2015,69,1,24
0.3601,0,1,9/1/2015,11/23/2015,74,1,13
0.424,0,1,9/1/2015,11/23/2015,74,1,14
0.4726,0,1,9/1/2015,12/1/2015,81,1,15
0.4728,0,1,9/1/2015,12/1/2015,81,1,16
0.391,0,1,9/1/2015,12/8/2015,88,1,17
0.377565,0,1,9/1/2015,12/8/2015,88,1,18
0.358,0,1,9/1/2015,12/8/2015,88,1,19
0.323,0,1,9/1/2015,12/8/2015,88,1,20
0.39449,0,1,9/1/2015,12/8/2015,88,1,21
0.44787,0,1,9/1/2015,12/8/2015,88,1,22
0.3585,0,1,9/1/2015,12/14/2015,104,1,13
0.4477,0,1,9/1/2015,12/14/2015,104,1,14
0.3688,0,1,9/1/2015,12/14/2015,104,1,16
0.4386,0,1,9/1/2015,12/14/2015,104,1,17
0.2532,0,1,9/1/2015,12/14/2015,104,1,18
0.43627,0,1,9/1/2015,12/14/2015,104,1,19
0.3923,0,1,9/1/2015,12/14/2015,104,1,20
0.385,0,1,9/1/2015,12/14/2015,104,1,21
0.4665,0,1,9/1/2015,12/14/2015,104,1,24
1,1,0,9/1/2015,9/1/2015,0,1,2
1,1,0,9/1/2015,9/1/2015,0,1,3
1,1,0,9/1/2015,9/1/2015,0,1,5
1,1,0,9/1/2015,9/1/2015,0,1,6
1,1,0,9/1/2015,9/1/2015,0,1,12
0.817,1,0,9/1/2015,10/8/2015,28,1,2
0.7053,1,0,9/1/2015,10/19/2015,41,1,3
0.568585,1,0,9/1/2015,10/26/2015,48,1,5
0.532565,1,0,9/1/2015,10/26/2015,48,1,6
0.549283,1,0,9/1/2015,11/16/2015,69,1,12
0.5685,1,0,9/1/2015,11/23/2015,74,1,2
0.5201,1,0,9/1/2015,12/1/2015,81,1,3
0.269604,1,0,9/1/2015,12/8/2015,88,1,5
0.381178,1,0,9/1/2015,12/8/2015,88,1,6
0.5055,1,0,9/1/2015,12/14/2015,104,1,2
0.3984,1,0,9/1/2015,12/14/2015,104,1,3
